Country Name,Country Code_x,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,Unnamed: 6,Indicator name:,Country Code_y,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,World Development Indicators
Spain,ESP,12.688,0.023992861,,,,,ESP,Total fisheries production (metric tons),ER.FSH.PROD.MT,1201985.88,1266209.09,1287623.92,1193951.31,1074907.26,1083032.77,1085165.22,,,
Estonia,EST,18.635,0.001225167,,,,,EST,Total fisheries production (metric tons),ER.FSH.PROD.MT,76523.73,83690.46,87994.66,87816.97,75232.59,73085.0,74739.56,,,
Finland,FIN,12.111,0.0,,,,,FIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,207293.17,205211.9,189364.09,179213.09,163621.9,147681.4,138964.6,,,
Fiji,FJI,0.925,0.037265508,,,,,FJI,Total fisheries production (metric tons),ER.FSH.PROD.MT,45011.0,47745.0,43029.41,42003.87,37919.42,33215.58,32837.2,,,
France,FRA,48.929,0.023992861,,,,,FRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,739095.69,742968.11,766121.48,720260.92,669512.04,704111.64,735365.83,,,
Gabon,GAB,28.827,0.045433291,,,,,GAB,Total fisheries production (metric tons),ER.FSH.PROD.MT,31050.0,29050.0,29062.0,29062.0,28952.0,29912.0,31097.0,,,
United Kingdom,GBR,29.163,0.07177439,,,,,GBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,901821.86,953015.59,889214.31,852817.59,843243.01,864698.11,,,,
Georgia,GEO,0.668,0.000306292,,,,,GEO,Total fisheries production (metric tons),ER.FSH.PROD.MT,46513.69,139465.38,205905.0,254200.15,209176.9,200365.45,200531.57,,,
Ghana,GHA,0.097,0.427277127,,,,,GHA,Total fisheries production (metric tons),ER.FSH.PROD.MT,376396.57,425182.76,435373.37,369665.72,434696.15,482141.55,652309.27,,,
Guinea,GIN,0.53,0.239622322,,,,,GIN,Total fisheries production (metric tons),ER.FSH.PROD.MT,159879.8,321741.9,293693.6,360643.2,310705.0,326270.0,336050.0,,,
Guinea-Bissau,GNB,10.009,0.025218029,,,,,GNB,Total fisheries production (metric tons),ER.FSH.PROD.MT,28460.0,38375.0,52278.67,60170.0,62407.45,63236.0,63850.0,,,
Equatorial Guinea,GNQ,0.235,0.041349399,,,,,GNQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,6470.29,6392.0,6422.61,6432.72,5973.28,6322.12,6625.15,,,
Greece,GRC,4.518,0.022053013,,,,,GRC,Total fisheries production (metric tons),ER.FSH.PROD.MT,199241.6,203840.0,210080.72,211995.28,203213.19,203557.44,207502.38,,,
Grenada,GRD,0.086,0.013272647,,,,,GRD,Total fisheries production (metric tons),ER.FSH.PROD.MT,2762.87,2462.65,2560.92,2071.39,1916.39,1234.08,1881.61,,,
Guatemala,GTM,0.9,0.729178791,,,,,GTM,Total fisheries production (metric tons),ER.FSH.PROD.MT,39430.59,41735.72,42392.13,46714.26,45140.61,43665.51,58570.04,,,
Guyana,GUY,0.019,0.127213214,,,,,GUY,Total fisheries production (metric tons),ER.FSH.PROD.MT,42478.7,43673.27,41694.76,39330.02,40124.53,34357.98,37206.85,,,
Honduras,HND,4.157,0.24870898,,,,,HND,Total fisheries production (metric tons),ER.FSH.PROD.MT,67074.0,76152.0,77123.0,80047.0,86997.1,84947.8,93386.0,,,
Croatia,HRV,8.541,0.022869791,,,,,HRV,Total fisheries production (metric tons),ER.FSH.PROD.MT,90614.65,87089.77,90271.36,85063.37,93394.77,89459.67,90839.22,,,
Haiti,HTI,1.464,0.70743207,,,,,HTI,Total fisheries production (metric tons),ER.FSH.PROD.MT,17800.0,17910.0,17780.0,17905.0,17910.0,17830.0,18395.0,,,
Indonesia,IDN,3.057,5.751446208,,,,,IDN,Total fisheries production (metric tons),ER.FSH.PROD.MT,22583433.92,23156059.1,23132926.86,22760687.73,21834094.6,21718023.23,22032424.56,,,
India,IND,0.171,12.91663349,,,,,IND,Total fisheries production (metric tons),ER.FSH.PROD.MT,10898848.01,11763822.01,12584085.0,13410100.02,13299483.01,14433204.98,15774324.95,,,
Ireland,IRL,2.332,0.011741187,,,,,IRL,Total fisheries production (metric tons),ER.FSH.PROD.MT,300099.79,321762.94,288136.86,276357.34,246252.76,276257.85,247552.73,,,
Iraq,IRQ,0.0,0.006840518,,,,,IRQ,Total fisheries production (metric tons),ER.FSH.PROD.MT,60135.0,67034.0,62673.0,62338.0,57474.17,66373.69,67550.0,,,
Iceland,ISL,0.38,0.0,,,,,ISL,Total fisheries production (metric tons),ER.FSH.PROD.MT,1108095.0,1224644.7,1298685.0,1100942.8,1079695.19,1224383.4,1486086.47,,,
Israel,ISR,0.033,0.00336921,,,,,ISR,Total fisheries production (metric tons),ER.FSH.PROD.MT,20502.0,20051.0,19073.0,18986.0,17296.0,16910.0,15895.0,,,
Italy,ITA,8.778,0.042268275,,,,,ITA,Total fisheries production (metric tons),ER.FSH.PROD.MT,353550.86,354014.39,351936.88,318456.34,266967.25,297590.87,276306.43,,,
Jamaica,JAM,0.755,0.238295057,,,,,JAM,Total fisheries production (metric tons),ER.FSH.PROD.MT,18259.0,20614.0,16966.63,14636.45,13801.67,14115.2,13474.49,,,
Jordan,JOR,35.718,0.000102097,,,,,JOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1721.14,1854.45,1994.86,2618.73,2638.95,2810.0,3257.0,,,
