Year,MPA,FisheryConsumption,,
2017,8.65592775072392,8734377.42893878,,
2018,8.1958148797391,9019346.23244898,,
2019,9.04194939063741,9031340.82371429,,
2020,8.96681497719414,9071383.14302041,,
2021,9.04831090161818,9289090.86897959,,
2022,9.2619660,9814026.33930736,,
