Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
10/10/2005,Townsville,Ship,Commercial,Port,"Berth 10, Townsville Harbour",HFO,Unknown
11/10/2005,Cairns,Unknown,Unknown,Port,Thursday Island Harbour,Diesel,Unknown
15/10/2005,Brisbane,Unknown,Unknown,Port,"Shaftston Reach, Brisbane River",Diesel,Unknown
20/10/2005,Cairns,Unknown,Unknown,Port,"Smiths Creek, Cairns",Bilge,20
23/10/2005,Gladstone,Ship,Recreational,Coastal Waters,"Fitzroy River, Rockhampton",Diesel,Unknown
28/10/2005,Cairns,Ship,Unknown,Port,"Marina Mirage, Port Douglas",Bilge,Unknown
28/10/2005,Cairns,Ship,Fishing,Coastal Waters,"Mulgrave River, Deeral",Bilge,Unknown
7/11/2005,Cairns,Ship,Commercial,Coastal Waters,Armistice Reef,Bilge,Unknown
8/11/2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Sheen,Unknown
14/11/2005,Cairns,Unknown,Unknown,Port,Marlin Marina Cairns,Diesel,10
4/12/2005,Cairns,Unknown,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
7/12/2005,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Sheen,Unknown
31/12/2005,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Petrol,Unknown
16/01/2006,Gladstone,Ship,Commercial,Port,Bunker oil spill from Larcom in Gladstone,HFO,1000
20/01/2006,Gladstone,Ship,Fishing,Territorial Sea,Fire on trawler 28nm NNE Cape Capricorn,Diesel,3000
6/03/2006,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
31/03/2006,Cairns,Unknown,Unknown,Port,"Commercial Fishermans Base 2, Smiths Creek, Cairns",Bilge,20
13/04/2006,Cairns,Ship,Recreational,Port,"Marlin Marina, Cairns",Bilge,20
23/04/2006,Townsville,Land,N/A,Port,Berth 4 Townsville - Road tanker refuelling ship,Diesel,200
26/04/2006,Mackay,Ship,Recreational,Coastal Waters,"Pioneer Bay, Airlie Beach",Sheen,Unknown
2/05/2006,Mackay,Ship,Commercial,Port,Hay Point Anchorage,Hydraulic Oil,30
30/05/2006,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,5
5/06/2006,Townsville,Ship,N/A - Museum Piece,Port,Reef HQ Wharf Townsville - vessel sunk at wharf,Diesel,50
20/06/2006,Townsville,Land,N/A,Port,"Townsville Harbour Berths 4,6,and 7 -  from stormwater",Diesel,Unknown
27/06/2006,Gold Coast,Ship,Commercial,Coastal Waters,Gold Coast City Marina - vessel sunk at marina berth,Lubricating Oil,75
9/07/2006,Mackay,Unknown,N/A,Port,Mackay Marina,Sheen,1
8/08/2006,Cairns,Unknown,N/A,Coastal Waters,"Mirana Mirage, Port Douglas",Diesel,Unknown
12/08/2006,Cairns,Ship,Trading,Coastal Waters,Near Hope Island,Bilge,Unknown
12/08/2006,Gladstone,Ship,Fishing,Coastal Waters,Rosslyn Bay Boat Harbour - FV Kerry K,Diesel,Unknown
17/08/2006,Gladstone,Ship,Trading,Port,"Fishermans Landing  No.2, Gladstone",Other - Lube ,25
25/08/2006,Cairns,Ship,Unknown,Coastal Waters,Offshore from Port Douglas,Unknown,Unknown
25/08/2006,Cairns,Ship,Trading,Territorial Sea,40 miles SW of Prince of Wales Island,Sheen,Unknown
4/09/2006,Gladstone,Ship,Fishing,Port,Gladstone Marina,Diesel,Unknown
9/09/2006,Townsville,Ship,Commercial,Port,Townsville harbour berth 6,Diesel,Unknown
30/09/2006,Gold Coast,Ship,Recreation,Coastal Waters,"Budds Beach, Nerang River, Surfers Paradice",Diesel,Unknown
11/10/2006,Townsville,Land,N/A,Port,Townsville harbour berthS 8 & 9,HFO,Unknown
13/10/2006,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Sheen,Unknown
23/10/2006,Cairns,Ship,Unknown,Coastal Waters,"Noahs Beach, Cape Tribulation",Bilge,Unknown
8/11/2006,Gladstone,Ship,Trading,Port,"South Trees Wharf, Gladstone",Bilge,Unknown
14/11/2006,Townsville,Land,N/A,Port,"Queensland Nickel Pipeline, Civic Theatre and drain",HFO,Unknown
16/11/2006,Cairns,Unknown,Unknown,Port,"Marlin Marina, Trinity Inlet, Cairns",Diesel,Unknown
2/12/2006,Cairns,Ship,Recreation,Port,"Marlin Marina, Trinity Inlet, Cairns",Other - Lube,Unknown
8/12/2006,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
12/12/2006,Cairns,Ship,Commercial,Coastal Waters,"4nm east of Double Island, Cairns",Bilge,Unknown
15/12/2006,Gladstone,Ship,Fishing,Territorial Sea,17m ENE od Baffle Creek,Diesel,Unknown
17/12/2006,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
20/12/2006,Brisbane,Ship,Recreation,Coastal Waters,"Lawries Marina, Mooloolaba",Sheen,Unknown
27/12/2006,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
1/01/2007,Cairns,Ship,Trading,Port,"Lorim Point, Weipa",Other - Hyd,Unknown
10/01/2007,Brisbane,Unknown,Unknown,Coastal Waters,"Petrie Bight, Brisbane River",Sheen,Unknown
14/01/2007,Gladstone,Ship,Commercial,Port,Gladstone Marina,Other - Gearbox,Unknown
15/01/2007,Gladstone,Unknown,Unknown,Port,"South Trees Wharf, Gladstone",Sheen,Unknown
22/01/2007,Brisbane,Ship,Recreation,Coastal Waters,Mooloolaba Boat Harbour,Sheen,Unknown
30/01/2007,Brisbane,Unknown,Unknown,Port,"Maritime 2, Hamilton Reach, Brisbane River",Diesel,Unknown
8/02/2007,Brisbane,Ship,Recreation,Coastal Waters,"Raby Bay Marina, Brisbane",Diesel,Unknown
11/02/2007,Mackay,Ship,Trading,Coastal Waters,2nm East of Hay Point,Sheen,Unknown
16/02/2007,Mackay,Ship,Trading,Coastal Waters,Deadman Island off Cape Palmerston,Bilge,Unknown
17/02/2007,Gladstone,Ship,Recreation,Coastal Waters,"Long Beach, Zitzie - North of Gladstone",Diesel,Unknown
19/02/2007,Townsville,Ship,Commercial,Coastal Waters,Cardwell,Diesel,Unknown
3/03/2007,Mackay,Ship,Commercial,Port,Mackay Marina,Diesel,50
5/03/2007,Brisbane,Unknown,Unknown,Coastal Waters,"Browns Wharf, Mooloolaba",Sheen,Unknown
6/03/2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Diesel,
9/03/2007,Townsville,Ship,Fishing,Territorial Sea,17nm East of Magnetic Island - sunken trawler,Diesel,Unknown
12/03/2007,Brisbane,Ship,Commercial,Coastal Waters,Mooloolaba Boat Harbour,Other - Hydraulic,15
13/03/2007,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,3
22/03/2007,Brisbane,Unknown,Unknown,Coastal Waters,Manly Marina,Sheen,Unknown
27/03/2007,Brisbane,Ship,Recreation,Coastal Waters,Redland Bay esplanade,Other,Unknown
28/04/2007,Brisbane,Unknown,Unknown,Coastal Waters,"Dockside Marina, Brisbane River",Diesel,Unknown
1/05/2007,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,50
2/05/2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Other,Unknown
6/05/2007,Brisbane,Ship,Recreation,Coastal Waters,"Horseshoe Bay, Peel Island",Diesel,Unknown
12/05/2007,Gold Coast,Ship,Recreation,Coastal Waters,"Paradise Point, Gold Coast",Petrol,700
13/05/2007,Brisbane,Land,N/A,Port,"Shell Terminal, Pinkenba, Brisbane River",Sheen,Unknown
16/05/2007,Brisbane,Unknown,Unknown,Port,"Fisherman Islands, Berth 8, Brisbane River",Sheen,Unknown
21/05/2007,Brisbane,Ship,Commercial,Port,"No16 beacon, Bar Cutting, Brisbane",Other - Hydraulic,7
21/05/2007,Brisbane,Unknown,Unknown,Port,"Snapper Creek, Tin Can Bay",Diesel,Unknown
23/05/2007,Brisbane,Land,N/A,Port,"Caltex Crude Berth, Fisherman Islands",Crude,0.2
26/05/2007,Mackay,Unknown,Unknown,Coastal Waters,"Abel Point Marina, Airlie Beach",Sheen,2
28/05/2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Boat Harbour,Sheen,Unknown
29/05/2007,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Bilge,10
30/05/2007,Mackay,Ship,Commercial,Coastal Waters,"Abel Point Marina, Airlie Beach",Bilge,20
8/06/2007,Gladstone,Ship,Defence,Port,"Auckland Point, Gladstone",Diesel,20
10/07/2007,Townsville,Ship,Trading,Port,"Berth 4, Townsville Port",Diesel,200
18/07/2007,Brisbane,Unknown,Unknown,Coastal Waters,Mooloolaba Yacht Club,Diesel,Unknown
22/07/2007,Townsville,Unknown,Unknown,Port,"Ross River, Townsville",Lube Oil,30
1/08/2007,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolaba, Browns Slipway",Diesel,Unknown
10/08/2007,Gladstone,Ship,Fishing,Port,"Snapper Creek, Tin Can Bay",Diesel,200
18/08/2007,Brisbane,Ship,Trading,Port,Brisbane Cruise Ship Terminal,Diesel,3
20/08/2007,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolaba, Debretts Wharf",Diesel,1
21/08/2007,Cairns,Unknown,Unknown,Coastal Waters,Coleman River,Diesel,Unknown
25/08/2007,Mackay,Unknown,Unknown,Coastal Waters,Seaward of Hay Point,Sheen,Unknown
26/08/2007,Brisbane,Ship,Recreational,Coastal Waters,Noosa River,Diesel,Unknown
31/08/2007,Mackay,Unknown,Unknown,Coastal Waters,"Armstrong Beach, Sarina",Other,Unknown
5/09/2007,Townsville,Ship,Commercial,Coastal Waters,Orpheus Island,Diesel,200
11/09/2007,Mackay,Ship,Fishing,GBRMP,"Swain Reef, - FV Jagger sunk",Diesel,7000
12/09/2007,Mackay,Ship,Recreational,GBRMP,7.5nm NE Mackay,Petrol,40
27/09/2007,Brisbane,Ship,Recreational,Coastal Waters,Wynnum Creek,Sheen,Unknown
30/09/2007,Cairns,Ship,Trading,Coastal Waters,Turtle Cove between Cairns and Port Douglas,HFO,Unknown
30/09/2007,Gladstone,Ship,Commercial,Coastal Waters,Urangan Boat Harbour,Bilge,Unknown
8/10/2007,Cairns,Unknown,Unknown,Port,"Weipa, Lorim Point",HFO,Unknown
18/10/2007,Brisbane,Unknown,Unknown,Coastal Waters,Brisbane River Town Reach,Sheen,Unknown
24/10/2007,Cairns,Unknown,Unknown,Coastal Waters,Mission Beach,Sheen,Unknown
27/10/2007,Brisbane,Unknown,Unknown,Coastal Waters,Raby Bay Marina,Sheen,Unknown
30/10/2007,Cairns,Ship,Commercial,Coastal Waters,Mission Beach,Diesel,Unknown
1/11/2007,Cairns,Unknown,Unknown,Port,Cooktowm,Diesel,Unknown
7/11/2007,Brisbane,Ship,Recreational,Coastal Waters,Mooloolaba,Diesel,Unknown
23/11/2007,Brisbane,Land,Land,Coastal Waters,Scarbrough Harbour,Diesel,Unknown
27/11/2007,Cairns,Unknown,Unknown,Coastal Waters,"Port Douglas, Marina Mirage",Diesel,Unknown
27/11/2007,Cairns,Ship,Commercial,GBRMP,Green Island and Norman Reef,Diesel,Unknown
27/11/2007,Cairns,Unknown,Unknown,Port,"Cairns, Tropical Reef Slipway",Sheen,Unknown
6/12/2007,Cairns,Ship,Commercial,Coastal Waters,"Cairns, Mulgrave River",Diesel,Unknown
27/12/2007,Cairns,Unknown,Unknown,Coastal Waters,"Maria Creek, Silkwood",Diesel,Unknown
1/01/2008,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Brisbane River",Diesel,100
14/01/2008,Mackay,Unknown,Unknown,Coastal Waters,"Pioneer River, Mackay",Sheen,Unknown
15/01/2008,Cairns,Ship,Naval,Port,"NQEA Slipway, Cairns",Diesel,10
16/01/2008,Mackay,Ship,Trading,Port,Hay Point Anchorage,Sheen,Unknown
21/01/2008,Brisbane,Ship,Recreational,Coastal Waters,Raby Bay Marina,Diesel,20
31/01/2008,Cairns,Ship,Commercial,Port,Cairns Berth 4/5,HFO,50
3/02/2008,Gladstone,Unknown,Unknown,Coastal Waters,"Hervey Bay Boat Club, Urangan",Sheen,Unknown
4/02/2008,Brisbane,Ship,Fishing,Coastal Waters,"One Mile anchorage , Stradbroke Island",Diesel,Unknown
4/02/2008,Gladstone,Ship,Fishing,Coastal Waters,Cassuarina creek,Diesel,Unknown
17/02/2008,Gladstone,Unknown,Unknown,Coastal Waters,"Snapper Creek, Tin Can Bay",Diesel,Unknown
8/03/2008,Brisbane,Ship,Fishing,Port,"Aquarium Passage, Brisbane",Diesel,5
14/03/2008,Mackay,Ship,Commercial,Coastal Waters,"Abel Point Marina, Airlie Beach",Bilge,25
19/03/2008,Cairns,Ship,Naval,Port,"HMAS Cairns, Cairns",Lube Oil,0.5
23/03/2008,Brisbane,Ship,Recreational,Coastal Waters,"Karragarra Island, Moreton Bay",Diesel,Unknown
6/04/2008,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Brisbane River",Diesel,Unknown
8/04/2008,Cairns,Unknown,Unknown,Port,"Trawler Base, Smiths Creek, Cairns",Sheen,Unknown
12/04/2008,Gladstone,Ship,Commercial,Port,Gladstone Marina,Diesel,50
21/04/2008,Gladstone,Ship,Commercial,Port,Gladstone Marina,Sheen,Unknown
24/04/2008,Townsville,Land,Land,Port,Townsville Port Berth 1,Diesel,Unknown
26/04/2008,Gladstone,Ship,Recreational,Coastal Waters,Pancake Creek,Diesel,300
10/05/2008,Brisbane,Ship,Recreational,Coastal Waters,"Kangaroo Island, Southern Moreton Bay",Hydraulic oil,Unknown
16/05/2008,Brisbane,Unknown,Unknown,Coastal Waters,Russell Island,Bilge,Unknown
17/05/2008,Gladstone,Ship,Trading,GBRMP,Lady Elliott Island,HFO,Unknown
25/05/2008,Gladstone,Ship,Commercial,Port,"Gladstone , Boyne Whard",Coke,Unknown
28/05/2008,Townsville,Ship,Commercial,Port,"Townsville, Ross Creek",Hydraulic oil,1
9/06/2008,Brisbane,Unknown,Unknown,Coastal Waters,"Brisbane River, Teneriffe ferry terminal",Other,Unknown
17/06/2008,Gladstone,Land,Unknown,Port,Gladstone Marina,Diesel,77
18/06/2008,Brisbane,Unknown,Unknown,Coastal Waters,Cabbage Tree Creek Shornecliffe,Diesel,Unknown
18/06/2008,Brisbane,Ship,Commercial,Port,"Tug base, Whyte Island",Diesel,100
26/06/2008,Brisbane,Unknown,Unknown,Coastal Waters,"Tlimbah Creek, Toorbul",Diesel,Unknown
7/07/2008,Gladstone,Land,N/A,Port,"Boyne Smelter Wharf, Gladstone",Petroleum Coke,Unknown
8/07/2008,Gladstone,Land,N/A,Port,"Boyne Smelter Wharf, Gladstone",Petroleum Coke,Unknown
16/07/2008,Cairns,Unknown,N/A,Coastal Waters,"Johnston Harbour, Innisfail",Diesel,Unknown
20/07/2008,Gladstone,Unknown,N/A,Coastal Waters,"Hervey Bay Boat Harbour, Urangan",Sheen,Unknown
30/07/2008,Brisbane,Unknown,,Coastal Waters,"Mooloolaba Marina, Mooloolaba",Diesel,Unknown
30/07/2008,Gladstone,Ship,Trading,Port,"Auckland Channel, Gladstone",Hydraulic ,4
30/07/2008,Townsville,Unknown,N/A,GBR,15 miles East of Lucinda,Discoloured Water,Unknown
6/08/2008,Mackay,Ship,Recreational,Coastal Waters,"Abel Point Marina, Airlie Beach",Diesel ,Unknown
8/08/2008,Gladstone,Land,N/A,Port,Fishermans Landing,Lube Oil,1
13/08/2008,Mackay,Ship,Commercial,Port,"Berth 1, Mackay Harbour",Diesel,10
21/08/2008,Brisbane,Ship,Trading,Port,"Bar Cutting, Brisbane",Soot,Unknown
2/09/2008,Townsville,Ship,Commercial,Coastal Waters,"Nelly Bay, Magnetic Island",Diesel,300
13/09/2008,Gladstone,Unknown,N/A,Port,"Carlo Creek, Tin Can Bay",Diesel,Unknown
15/09/2008,Brisbane,Unknown,N/A,Coastal Waters,Mooloolaba Harbour,Sheen,Unknown
9/10/2008,Mackay,Unknown,Unknown,Port,Dalrymple Bay Terminal,Sheen,Unknown
13/10/2008,Brisbane,Ship,Tanker,Port,"Caltex Products Wharf, Lytton",HFO,100
22/10/2008,Mackay,Ship,Recreational,Coastal Waters,"Pioneer Bay, Airlie Beach",Diesel,Unknown
24/10/2008,Mackay,Ship,Commercial,Port,"Mackay Marina, Mackay",Diesel,10
9/11/2008,Mackay,Ship,Customs,Port,"Mackay Marina, Mackay",Diesel,Unknown
17/11/2008,Gladstone,Ship,Recreational,Coastal Waters,"Hervey Bay Boat Harbour, Urangan",Diesel ,Unknown
21/11/2008,Mackay,Land,N/A,Port,Dalrymple Bay Terminal,Hydraulic ,Unknown
1/12/2008,Gladstone,Ship,Commercial,Port,"E3 Anchorge, Gladstone",Unknown,Unknown
1/12/2008,Mackay,Land,N/A,Port,Dalrymple Bay Terminal,Hydraulic ,5
10/12/2008,Townsville,Unknown,N/A,Port,"Ross Creek, Townsville",Diesel,Unknown
17/12/2008,Brisbane,Ship,Recreational,Coastal Waters,Raby Bay Marina,Diesel,Unknown
27/12/2008,Brisbane,Ship,Commercial,Coastal Waters,"Flinders Reef, Moreton Island, SEQ",Diesel,Unknown
5/01/2009,Gladstone,Unknown,N/A,Port,"Auckland Creek, Gladstone",Sheen,Unknown
5/01/2009,Gladstone,Unknown,N/A,Port,"Town Reach, Burnett River, Bundaberg",Diesel,Unknown
26/01/2009,Gold Coast,Ship,Commercial,Coastal Waters,Marina Mirage,Diesel ,Unknown
29/01/2009,Cairns,Ship,Trading,Port,Wharf 7/8 Cairns,Sheen,Unknown
29/01/2009,Townsville,Land,N/A,Port,Ross Haven slipway Ross River Townsville,Diesel ,50
31/01/2009,Brisbane,Ship,Recreational,Port,Dockside Marina Kangaroo Point Brisbane river,Bilge,Unknown
1/02/2009,Gladstone,Ship,Commercial,Port,Emperor Street slipway Tin Can Bay,Diesel,Unknown
1/02/2009,Gladstone,Ship,Commercial,Port,Burnett River Bundaberg,Diesel,Unknown
1/02/2009,Gladstone,Unknown,N/A,Port,Gladstone Marina,Diesel,20
3/02/2009,Gladstone,Unknown,N/A,GBR,Capricorn Channel,Unknown,Unknown
10/02/2009,Gladstone,Ship,Commercial,Port,North Channel Gladstone Harbour,Diesel,20
19/02/2009,Brisbane,Unknown,N/A,Coastal Waters,Wynnum Creek,Sheen,Unknown
27/02/2009,Gladstone,Land,N/A,Port,Walby Creek Gladstone,Diesel,1000
11/03/2009,Brisbane,Ship,Trading,Territorial sea,Approximatly 7 Nm East Cape Moreton Island,HFO,"270,000"
4/06/2009,Townsville,Unknown,N/A,GBR,Approximatly 10 Nm South of Palm Island,Discoloured Water ,Unknown
8/06/2009,Cairns,Ship,N/A,Port,Endeavour River Cooktown,Diesel,50
15/06/2009,Cairns,Ship,Commercial,Coastal Waters,Green Island Jetty,Diesel,200
22/06/2009,Cairns,Ship,Fishing,Coastal Waters,Flattery Harbour,Diesel,2000
22/06/2009,Townsville,Unknown,N/A,Port,Roos Creek between Reef HQ and marina berths,Diesel,Unknown
26/06/2009,Brisbane,Unknown,Commercial,Port,Tangalooma Flyer wharf Holt St Eagle Farm,Sheen,60
26/06/2009,Cairns,Land,N/A,Port,Canecutters wharf Innisfail,Oil,Unknown
13/07/2009,Mackay,Ship,N/A,Coastal Waters,Outside of Abel Point Marina Pioneer Bay Whitsunday,Lubricating,10
15/07/2009,Townsville,Ship,Bulk Carrier,GBR,Inner shipping route from Holborne Is to Palm Is.,Lubricating,200
28/07/2009,Cairns,Unknown,N/A,Port,Marlin Marina Cairns,Bilge,35
23/08/2009,Gladstone,Unknown,N/A,Port,Mouth of Auckland creek Gladstone Harbour,unknown,Unknown
16/09/2009,Brisbane,Unknown,N/A,Port,Brisbane River,Diesel,20
18/09/2009,Brisbane,Ship,Commercial,Port,"Fisherman Islands Berth 2, Brisbane",HFO,5
27/09/2009,Cairns,Unknown,N/A,Coastal Waters,Clump Point Mission Beach,Sheen,Unknown
6/10/2009,Brisbane,Unknown,N/A,Coastal Waters,Wynnum creek,Sheen,Unknown
18/10/2009,Mackay,Ship,Commercial,Port,Hay Point,HFO,Unknown
23/10/2009,Townsville,Ship,Commercial,Port,Ross river,Hydraulic ,50
30/10/2009,Brisbane,Ship,Recreational,Coastal Waters,Weinam creek,Diesel ,50
4/12/2009,Townsville,Ship,Commercial,Port,Ross creek,Diesel,2
12/12/2009,Cairns,Ship,Commercial,Port,Norman River Karumba,Diesel,Unknown
13/12/2009,Brisbane,Unknown,N/A,Coastal Waters,Eastern side of Cleveland Point Moreton Bay,Bilge,Unknown
4/01/2010,Gladstone,Unknown,N/A,Port,Auckland creek Gladstone Harbour,Diesel,Unknown
5/01/2010,Mackay,Ship,Commercial,Port,Hay Point,HFO,50
9/01/2010,Brisbane,Ship,Trading Ship,Port,Fisherman Is Brisbane River,HFO,20
18/01/2010,Gladstone,Land,N/A,Coastal Waters,Rosslyn Bay Marina,Engine oil,Unknown
20/01/2010,Brisbane,Ship,Recreational,Port,Breakfast creek Brisbane River,Diesel,Unknown
2/02/2010,Mackay,Unknown,N/A,Coastal Waters,Shute Harbour Marina,Diesel,Unknown
16/02/2010,Brisbane,Unknown,N/A,Port,Tangalooma ferry terminal Brisbane River,unknown,Unknown
16/02/2010,Townsville,Unknown,N/A,Port,Ross River ,Sheen,10
23/02/2010,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,8
26/02/2010,Brisbane,Ship,Fishing,Coastal Waters,Tangalooma jetty Moreton Is,Diesel,Unknown
18/03/2010,Cairns,Ship,Recreational,Coastal Waters,Yorkeys Knob Marina,Diesel,1000
31/03/2010,Brisbane,Ship,Fishing,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
13/04/2010,Gladstone,Unknown,N/A,Port,Gladstone Marina,Diesel ,10
14/04/2010,Cairns,Ship,Fishing,Port,Cooktown Harbour,Diesel,20
20/04/2010,Gladstone,Ship,Recreational,Port,Mary River Maryborough,Diesel,Unknown
21/04/2010,Brisbane,Unknown,N/A,Coastal Waters,Manly Harbour Brisbane,Diesel,Unknown
25/04/2010,Brisbane,Ship,Recreational,Coastal Waters,Pacific Harbour Marina Bribie Is,Diesel,Unknown
11/05/2010,Townsville,Unknown,N/A,Port,Ross River,Diesel ,Unknown
13/05/2010,Cairns,Ship,Commercial,Port,Wharf No. 8 Cairns Port,Diesel,3
27/05/2010,Cairns,Ship,Commercial,Port,Masons wharf Cairns Harbour,Diesel,5
5/07/2010,Townsville,Unknown,N/A,Port,"Sunferries breakwater terminal, Ross Creek",Diesel,5
23/07/2010,Brisbane,Ship,Commercial,Port,"Fisherman Islands Coal Terminal, Brisbane",HFO,30
25/07/2010,Brisbane,Unknown,N/A,Coastal Waters,Mooloolaba,Diesel,Unknown
28/07/2010,Gladstone,Unknown,N/A,Port,"South Trees West Wharf, Gladstone",Diesel,Unknown
13/08/2010,Gladstone ,Land,N/A,Port,"South Trees East Wharf, Gladstone",HFO,100
18/08/2010,Townsville,Ship,Recreational,Port,"Breakwater Marina Development site, Townsville",Diesel,300
6/09/2010,Brisbane,Land,N/A,Port,"Brisbane River, downstream near CAPR",Diesel,Unknown
14/10/2010,Mackay,Ship,Sailling Vessel,Port,Mackay Harbour Entrance,Bilge,Unknown
20/10/2010,Brisbale,Unknown,N/A,Port," Pinkenba Reach, Brisbane River",Light Oil,Unknown
30/10/2010,Mackay,Unknown,N/A,Coastal Waters,"Blue Bay, Dalphin Pt",Diesel,Unknown
2/11/2010,Brisbane,Ship,Recreational,Coastal Waters,"Horizon Shores Marina, Gold Coast",Hydraulic,10
7/11/2010,Gladstone,Unknown,N/A,Coastal Waters,"South of India Head, Fraser Island",HFO,Unknown
14/11/2010,Cairns,Ship,Commercial,Port,"Meridian Marina, Port Douglas",Diesel ,200
18/11/2010,Brisbane,Unknown,N/A,Coastal Waters,"Aquatic Paradise, Moreton Bay",Bilge,Unknown
25/11/2010,Brisbane,Ship,Commercial,Port,"John Oxley II Berth, Brisbane River",Hydraulic,20
8/12/2010,Cairns,Ship,Commercial,Coastal Waters,Lizard Island,Diesel,120
5/01/2011,Cairns,Unknown,N/A,Coastal Waters,"Endeavour River, Cooktown",Diesel,Unknown
8/01/2011,Gladstone,Ship,Commercial,Coastal Waters,"China Bay, Curtis Island Gladstone",Hydraulic,10
10/01/2011,Gladstone,Ship,Recreational,Coastal Waters,"Garrys Anchorage, Great Sanbds Straits",Petrol,40
11/02/2011,Brisbane,Ship,Recreational,Port,"Rivergate Marina, Brisbane River",Diesel,Unknown
11/02/2011,Gladstone,Ship,Commercial,Port,"Auckland Pt Wharf, Gladstone Harbour",Diesel,15
15/02/2011,Cairns,Unknown,N/A,Coastal Waters,"Smiths Creek, Cairns",Sheen,Unknown
15/02/2011,Cairns,Unknown,N/A,Coastal Waters,"Low Isles, north of Cairns",Sheen,Unknown
17/02/2011,Brisbane,Ship,Commercial,Port,"Fisherman Islands Berth 3, Brisbane",Hydraulic,Unknown
2/03/2011,Cairns,Unknown,N/A,Coastal Waters,"Prince of Wales Island, Torres Strait",Sheen,Unknown
4/03/2011,Gladstone,Unknown,N/A,GBR,"10' offshore, 40' south of Bustard Head",HFO,Unknown
8/03/2011,Cairns,Ship,Commercial,Coastal Waters,"Great North East, Channel, Torres Straits",HFO,300
15/03/2011,Cairns,Unknown,N/A,Coastal Waters,"Trawler Base, Smiths Creek, Cairns",Vegetable,20
19/03/2011,Brisbane,Unknown,N/A,Coastal Waters,Mooloolaba Boat Harbour,Diesel,Unknown
26/03/2011,Brisbane,Land,N/A,Port,Brisbane River Eagle Farm drain,Tallow ,Unknown
28/03/2011,Brisbane,Ship,Fishing,Coastal Waters,Scarbough Boat Harbour,Diesel,Unknown
30/03/2011,Brisbane ,Ship,Commercial,Coastal Waters,"Toondah Harbour Ferriy Terminal, Cleveland",Diesel,Unknown
6/04/2011,Townsville,Land,N/A,Port,Port of Townsville Sugar Terminal,Diesel,50
9/04/2011,Brisbane,Unknown,N/A,Coastal Waters,"North West Channel Bribie Island, Moreton Bay",Sheen,Unknown
11/04/2011,Gladstone,Ship,Commercial,Port,North China Bay construction dock Gladstone Harbour,Hydraulic,20
19/04/2011,Townsville,Truck in water,N/A,Coastal Waters,"Palm Island Jetty, Palm Island",Diesel,Unknown
7/05/2011,Brisbane,Ship,Recreational,Coastal Waters,"Tangalooma Wrecks, Moretion Island",Diesel,Unknown
22/05/2011,Mackay,Unknown,N/A,Port,"A Arm, Mackay Marina",Diesel,3
12/06/2011,Mackay,Ship,Commercial,Port,"Dalyrymple Bay Coal Terminal, Berth 4",Bilge,Unknown
20/06/2011,Mackay,Ship,Commercial,Port,Mackay Harbour Berth 3,Hydraulic,4
21/06/2011,Cairns,Ship,N/A,Coastal Waters,"Evans Landing Wharf, Weipa",Diesel,10
7/07/2011,Mackay,Ship,Commercial,Port,Hay Point Berth 3 (Dredge Site),Hydraulic ,2
10/07/2011,Mackay,Ship,Commercial,Port,Hay Point Berth 3 (Dredge Site),Hydraulic ,2
13/07/2011,Gladstone,Unknown,Unknown,Port,"Between Q4 and Q6 beacon's in Quion Ccannel, Gladstone",Sheen,N/A
14/07/2011,Gladstone,Ship,Commercial,Port,"LNG Maritime Offload Facility Curtis Island, Gladstone.",Hydraulic ,20
23/07/2011,Gladstone,Unknown,Unknown,Port,Fishermans Landing (Bechtel Barge Ramp) Gladstone, Hydraulic ,5
