Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
31/10/2002,Brisbane,Ship,Recreational,Coastal Waters,"Docksde Marina, Brisbane River",Bilge,Unknown
8/11/2002,Mackay,Ship,Recreational,GBR,"Tounge Bay, Whitsunday Island",Diesel,Unknown
11/11/2002,Gladstone,Ship,Recreational,Coastal Waters,"Tin Can Bay, Boat Ramp at Norman Point",Bilge,Unknown
13/11/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
14/11/2002,Cairns,Ship,Recreational,Coastal Waters,Main Beach Thursday Island,Diesel,Unknown
18/11/2002,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
2/12/2002,Cairns,Ship,Commercial,GBR,vicinity of Three Isles,Diesel,Unknown
10/12/2002,Brisbane,Land,N/A,Port,Caltex Products Wharf - Lyton,HFO,Unknown
10/12/2002,Cairns,Ship,Unknown,Coastal Waters,smith's creek,Diesel,Unknown
18/12/2002,Brisbane,Unknown,Unknown,Coastal Waters,Wellington Point,Paint,Unknown
21/12/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
17/01/2003,Cairns,Ship,Recreational,Coastal Waters,"Port Douglas, Dickson Inlet",Diesel,Unknown
1/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
2/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
5/02/2003,Cairns,Ship,Unknown,Coastal Waters,"Endeavour River, Cooktown",Diesel,Unknown
6/02/2003,Mackay,Ship,Trading,GBR,hydrographers passage,Bilge,Unknown
11/02/2003,Mackay,Ship,Fishing,Coastal Waters,Abel Point Marina,Bilge,Unknown
12/02/2003,Cairns,Land,N/A,Coastal Waters,"swampy creek, lakeland down",Tar,Unknown
12/02/2003,Mackay,Ship,Trading,Coastal Waters,65 nm ENE of Gladstone,Bilge,Unknown
19/02/2003,Brisbane,Ship,Trading,Port,Fisherman Island Berth #1&2,HFO,Unknown
20/02/2003,Brisbane,Unknown,Unknown,Port,"QCL - Bp Products Berth, Brisbane River",Diesel,Unknown
22/02/2003,Brisbane,Ship,Fishing,Port,Doboy Creek,Diesel,Unknown
24/02/2003,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
26/02/2003,Cairns,Ship,Commercial,Port,Cairns Inlet,Diesel,Unknown
27/02/2003,Brisbane,Ship,Unknown,Port,NW3 - NW8 North West Channel Moreton Bay,Diesel,Unknown
4/03/2003,Cairns,Unknown,Unknown,Port,cairns inlet,Diesel,Unknown
12/03/2003,Brisbane,Land,N/A,Port,Caltex Wharf - Brisbane River,Bilge,Unknown
12/03/2003,Brisbane,Ship,Tanker,Port,"Shell Wharf, Brisbane River",HFO,Unknown
12/03/2003,Mackay,Ship,Fishing,Coastal Waters,Mackay Marina,Diesel,Unknown
14/03/2003,Brisbane,Unknown,Unknown,Coastal Waters,"Riverside Centre, Brisbane River",Diesel,Unknown
17/03/2003,Brisbane,Land,N/A,Port,"Hamilton Reach, Brisbane River",Bilge,Unknown
18/03/2003,Brisbane,Land,N/A,Port,Lytton - Quaritine Flats Reach,HFO,Unknown
24/03/2003,Brisbane,Unknown,Unknown,Port,E1 and E3 Eastern Channel - moreton bay,Diesel,Unknown
27/03/2003,Brisbane,Land,N/A,Port,Maritime Berths 1&2,Tallo,Unknown
17/04/2003,Mackay,Ship,Unknown,GBR,10.5 nm NE Wigton Is - Whitsunday's,Diesel,Unknown
27/04/2003,Cairns,Ship,Fishing,Offshore,Turu Cay - 09°49'S; 141°26'E,Diesel,Unknown
28/04/2003,Brisbane,Land,N/A,Port,Pinkenba,Petrol,Unknown
29/04/2003,Gladstone,Ship,Commercial,Coastal Waters,Rosslyn Bay Boat Harbour,Diesel,Unknown
6/05/2003,Brisbane,Ship,Recreational,Coastal Waters,"Moreton Bay Boat Club, Scarborough Harbour",Diesel,Unknown
10/05/2003,Mackay,Unknown,Unknown,GBR,Apostle Bay/Tongue Point - Whitsundays,Diesel,Unknown
11/05/2003,Mackay,Ship,Recreational,GBR,Sawmill Bay - 20°15'S; 148°56'E,Diesel,Unknown
14/05/2003,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
26/05/2003,Cairns,Ship,Unknown,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
27/05/2003,Cairns,Ship,,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
28/05/2003,Brisbane,Land,N/A,Coastal Waters,southbank,Diesel,Unknown
28/05/2003,Brisbane,Land,N/A,Port,caltex crude berth - fisherman island,Diesel,Unknown
29/05/2003,Cairns,Ship,Unknown,Coastal Waters,Thursday Island Boat Harbour,Diesel,Unknown
30/05/2003,Cairns,Ship,Commercial,Port,Humbug Wharf - Weipa,Bilge,Unknown
31/05/2003,Brisbane,Ship,Trading,Port,Maritime Berths 1&2,HFO,Unknown
31/05/2003,Brisbane,Ship,Fishing,Port,"Raptis Wharf Colmslie, Brisbane River",Diesel,Unknown
25/06/2003,Brisbane,Unknown,Unknown,Coastal Waters,"Bulimba Reach, Brisbane River",Diesel,Unknown
4/07/2003,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
11/07/2003,Mackay,Ship,Fishing,Port,"Mackay Marina, Mackay",Diesel,Unknown
26/07/2003,Brisbane,Unknown,Unknown,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
4/08/2003,Gladstone,Ship,Fishing,Coastal,Rosslyn Bay Boat Harbour,Diesel,Unknown
9/08/2003,Brisbane,Unknown,Unknown,Port,"Hemmant Barge Landing, Brisbane River",Sheen,Unknown
23/08/2003,Brisbane,Ship,Unknown,Port,Moreton Bay,Sheen,Unknown
10/09/2003,Brisbane,Ship,Trading,Port,"Fishermans Islands Coal Berth, Brisbane River",Hydraulic,Unknown
10/09/2003,Gladstone,Ship,Commercial,Port,"Fishermans  Landing, Gladstone",Hydraulic,Unknown
11/09/2003,Cairns,Ship,Defence,Port,Thursday Island,Diesel,Unknown
12/09/2003,Cairns,Ship,Recreational,Port,"Marlin Marina, Cairns",Bilge,Unknown
12/09/2003,Cairns,Ship,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
23/09/2003,Brisbane,Unknown,Unknown,Port,"Fishermans Islands, Brisbane River",Sheen,Unknown
