Country Name,Fishery,MPA
Aruba,149.5,0.0001051117278958
Africa Eastern and Southern,3871796.96666667,5.04086671993963
Angola,459862.833333333,0.0049298795474894
Albania,15909.36,2.7988637220579
Arab World,4884786.45,3.89548035095203
United Arab Emirates,74470.28,11.3753988819881
Argentina,842601.631666667,9.11029935702106
American Samoa,1544.4,7.26622009929161
Antigua and Barbuda,3194.16666666667,0.240651020450002
Australia,272231.23,41.8660273995348
Azerbaijan,2051.56666666667,0.43692913410039
Belgium,21091.9666666667,36.8882931536784
Benin,71495.8433333333,0.0
Bangladesh,4446437.67333333,5.35702529217329
Bulgaria,22684.4616666667,8.10670910756314
Bahrain,18686.7566666667,4.55617440243077
"Bahamas, The",9689.1,7.92288489578172
Bosnia and Herzegovina,4156.8,0.0
Belize,189916.28,10.5490361363538
Brazil,1369694.38,26.7227957383244
Barbados,1201.02,0.0056676632314462
Brunei Darussalam,16777.5916666667,0.201099955771754
Canada,980328.41,5.22614931573017
Central Europe and the Baltics,685989.176666667,19.7735922762446
Chile,3789824.21,37.1374732021313
China,83656743.085,5.44292019449064
Cote d'Ivoire,104116.01,0.0735708663182511
Cameroon,293555.97,8.49293793991292
"Congo, Dem. Rep.",236410.0,0.236434371979605
"Congo, Rep.",78859.9966666667,3.11113046541763
Colombia,268419.715,17.1036695815993
Cabo Verde,16893.1016666667,0.0006769969960078
Costa Rica,41685.37,6.44840381520624
Caribbean small states,333951.35,1.41622897494139
Cuba,44368.8,4.00976988298223
Curacao,26109.48,0.0368395830309534
Cayman Islands,184.0,0.0776731753529112
Cyprus,9055.81,4.37168742655548
Germany,255615.94,45.400402802295
Dominica,585.911666666667,0.0580459772696057
Denmark,704151.235,18.0973968825813
Dominican Republic,19199.16,17.8443088266367
Algeria,96804.94,0.0767528998629693
East Asia & Pacific (excluding high income),128233118.22,4.27648815590535
Early-demographic dividend,67182918.845,4.42380885984518
East Asia & Pacific,137528988.96,17.1919503505819
Europe & Central Asia (excluding high income),6649098.02666667,5.03145571577501
Europe & Central Asia,18736268.3866667,7.66319162125719
Ecuador,1430147.76833333,14.3130915554684
"Egypt, Arab Rep.",1964916.65166667,4.95148812078665
Euro area,4097242.60166667,24.2837778758889
Eritrea,3643.32166666667,0.0
Spain,1165148.26,11.2897036596175
Estonia,80426.54,18.7020506462702
European Union,5347513.125,22.012737259045
Finland,170676.163333333,11.5161497400646
Fiji,39458.4133333333,0.924879678968503
France,723056.67,48.1699528080326
Faroe Islands,731156.4,0.0108311551241112
"Micronesia, Fed. Sts.",156237.798,0.0157722566356839
Gabon,29522.5,28.8271512047305
United Kingdom,880597.72,36.5620159096025
Georgia,201607.408333333,0.667755973775779
Ghana,466561.47,0.0970490048640549
Guinea,324850.616666667,0.529623413382199
"Gambia, The",54084.1533333333,0.336758947517745
Guinea-Bissau,56719.52,9.49920064508127
Equatorial Guinea,6361.31333333333,0.235114937719678
Greece,206698.168333333,4.51786481820702
Grenada,2021.17,0.0921433215468235
Guatemala,46369.71,0.853063940090529
Guam,231.8,0.0141790385242354
Guyana,39397.9,0.0168275192712241
High income,32701385.3,22.8157041718222
"Hong Kong SAR, China",118314.305,0.0
Honduras,83108.8166666667,4.36748979779081
Croatia,89353.03,8.76501592834064
Haiti,17955.0,0.979348461833333
IBRD only,165795453.25,8.3219225557802
IDA & IBRD total,182924106.59,7.3954152795883
IDA blend,2828546.47,1.67824813241418
Indonesia,22439036.0133333,3.05746321626282
India,13544169.995,0.194098323539537
Ireland,276053.41,2.33199788879345
"Iran, Islamic Rep.",1255152.48,0.804554400485464
Iraq,63907.1433333333,0.0
Iceland,1235739.59333333,0.402332823229862
Israel,18035.1666666667,0.0375294157301941
Italy,310878.69,9.40843611190017
Jamaica,15601.4066666667,0.757415268396694
Jordan,2528.99833333333,18.3076457708691
Japan,4218823.52666667,10.1197289995345
Kazakhstan,48006.33,25.8886518937725
Kenya,161913.87,0.778288274448457
Cambodia,888622.168333333,0.813662666755387
Kiribati,201080.456666667,11.8169884078917
St. Kitts and Nevis,14776.935,2.7083223075186
"Korea, Rep.",3730748.71,2.17724327691245
Kuwait,3439.915,1.40259467398361
Latin America & Caribbean (excluding high income),12311998.34,19.1112893437127
Lebanon,3734.96666666667,0.216049030407163
Liberia,22334.8716666667,0.103342700918327
Libya,32125.4883333333,0.635054404378408
St. Lucia,1826.12,0.218551371261658
Latin America & Caribbean,16698744.24,18.6086045819336
Sri Lanka,459566.176666667,0.0746257595623984
Lower middle income,45227318.83,1.47631395850983
Low & middle income,178791723.696667,7.07999510477478
Late-demographic dividend,112895366.456667,10.3421946466442
Lithuania,97875.84,25.5921234374498
Latvia,67805.12,16.0373104501071
Morocco,1449172.96666667,0.470134655158139
Madagascar,144960.808333333,0.829956290212101
Middle East & North Africa,5918756.63666667,1.48124619546051
Mexico,1921143.28,21.6299675734715
Marshall Islands,87646.0016666667,0.26880319898304
Middle income,175447635.89,7.30931036847705
Malta,19654.79,7.05326402627867
Myanmar,3070489.63166667,1.09424189939758
Middle East & North Africa (excluding high income),4957579.62,1.17137756401208
Montenegro,2025.15833333333,0.144411460095922
Northern Mariana Islands,165.94,33.0052601528794
Mozambique,392231.98,2.18897262730319
Mauritius,31906.82,0.0038781457464117
Malaysia,1845680.37,3.17515872917796
North America,6027478.73,19.916327127607
Namibia,436177.49,1.71419939686204
New Caledonia,5056.25666666667,96.371277209355
Nigeria,1110901.10666667,0.0167092015617942
Nicaragua,80879.7466666667,3.18329457474099
Netherlands,401592.985,26.7994415098223
Norway,4073655.63,3.96541542793572
Nauru,60416.6,0.0
New Zealand,497300.75,30.4049263033321
OECD members,32151143.6666667,23.9669406768442
Oman,658866.91,0.1921247842295
Other small states,2182630.95,7.44971970620029
Pakistan,664814.371666667,0.766529115162511
Panama,218535.565,11.7174174448748
Peru,5784404.72666667,1.72777138613363
Philippines,4148180.74,1.35417696925437
Palau,2294.89,94.3292091729087
Papua New Guinea,268043.51,0.156082383736973
Poland,252052.975,22.5722475103014
Puerto Rico,1588.97833333333,1.7815571389644
"Korea, Dem. People's Rep.",875242.0,0.0220853330362307
Portugal,191093.26,16.7055402824522
Pacific island small states,671830.11,1.13106519365792
Post-demographic dividend,23845222.3066667,24.2784378783568
French Polynesia,14324.4,0.0169372937892754
Qatar,16251.7416666667,1.98719783889695
Romania,21792.2516666667,23.0973843913538
Russian Federation,5302428.48833333,2.73082076196665
South Asia,19221029.55,0.468571724061978
Saudi Arabia,151771.46,2.49409959543208
Sudan,49680.1666666667,15.9644115434855
Senegal,508131.94,1.36040436433039
Singapore,6148.53666666667,0.013182191738552
Solomon Islands,60878.6783333333,0.117184894132515
Sierra Leone,204606.666666667,0.900854590011914
El Salvador,68853.42,0.706239889396805
Small states,3188412.4,5.85599678639594
Suriname,35873.1083333333,1.54322386418802
Slovenia,2086.325,41.390312384
Sweden,202025.0,15.458280516029
Seychelles,142194.05,19.0289734953151
Syrian Arab Republic,6157.33333333333,0.246985790994524
Turks and Caicos Islands,1646.4,0.0971331453780475
East Asia & Pacific (IDA & IBRD countries),127564166.486667,4.31221125238003
Europe & Central Asia (IDA & IBRD countries),7012296.28,5.47711554005367
Togo,23128.2033333333,0.199648802938133
Thailand,2454842.90333333,3.15008109231306
Turkmenistan,15094.8333333333,2.99385884283141
Latin America & the Caribbean (IDA & IBRD countries),16612576.92,18.7118487953336
Timor-Leste,7456.19833333333,1.37254848550957
Middle East & North Africa (IDA & IBRD countries),4952943.35,1.17137756401208
Tonga,1323.59333333333,0.54063584370825
South Asia (IDA & IBRD),19221029.55,0.468571724061978
Trinidad and Tobago,13038.79,0.0489088397647698
Tunisia,144568.595,1.03551947185738
Turkiye,755298.125,0.657481684709744
Tuvalu,18970.78,0.0223076365514003
Tanzania,140889.28,3.01503442612749
Ukraine,85733.7966666667,5.35669790826812
Upper middle income,130220317.06,9.40466303865824
Uruguay,66928.3216666667,0.734231428493671
United States,5047150.31166667,33.1069657945161
St. Vincent and the Grenadines,8195.34,0.220097531638468
"Venezuela, RB",239101.802,3.91808565256314
British Virgin Islands,1161.77166666667,0.0041157937512157
Virgin Islands (U.S.),397.512,0.790809042410818
Viet Nam,7956273.93,0.560890814318396
Vanuatu,59461.8,0.0076372225066362
World,211692360.49,12.0266021080407
Samoa,10100.72,0.11540864634385
"Yemen, Rep.",143065.871666667,0.467573337391703
South Africa,528931.22,14.1881262164129
