Data Source,World Development Indicators,,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023
Paraguay,PRY,Total fisheries production (metric tons),ER.FSH.PROD.MT,25500,27825.25,28646.55,29690.46,31075,31710,37905,
West Bank and Gaza,PSE,Total fisheries production (metric tons),ER.FSH.PROD.MT,3586,3708,3950,4573,5306.9,5357.7,4922,
Pacific island small states,PSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,515255.3,495001.17,605729.16,753507.78,758339.39,781403.68,636999.45,
Post-demographic dividend,PST,Total fisheries production (metric tons),ER.FSH.PROD.MT,24421774.05,25743972.39,25536982.78,24902440.14,24061266.61,23987868.2,18838803.72,
French Polynesia,PYF,Total fisheries production (metric tons),ER.FSH.PROD.MT,14156.59,14123.63,14896.74,15140.43,13649.43,14800.69,13335.48,
Qatar,QAT,Total fisheries production (metric tons),ER.FSH.PROD.MT,14523.7,15368.6,14675.3,17152,15109.3,16668.4,18536.85,
Romania,ROU,Total fisheries production (metric tons),ER.FSH.PROD.MT,25302.03,27796.2,23477.45,23775.18,20172.88,18064.6,17467.2,
Russian Federation,RUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,4947451.53,5060376.59,5323509.13,5231713.15,5372210.06,5487045,5339717,
Rwanda,RWA,Total fisheries production (metric tons),ER.FSH.PROD.MT,26593,28357,27534,24760.2,37037.6,42407.3,44937,
South Asia,SAS,Total fisheries production (metric tons),ER.FSH.PROD.MT,16046147.63,17180704.73,18131907.82,19052558.58,18992152.21,20256839.87,21712014.06,
Saudi Arabia,SAU,Total fisheries production (metric tons),ER.FSH.PROD.MT,115095,122946,122875,141039.8,157711.61,181948.66,184107.69,
Sudan,SDN,Total fisheries production (metric tons),ER.FSH.PROD.MT,41502,47390,51041,49770,46660,49970,53250,
Senegal,SEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,476251.17,535950.31,485762.67,517151.27,459463.46,515107.63,535356.29,
Singapore,SGP,Total fisheries production (metric tons),ER.FSH.PROD.MT,7346.35,6943.81,7011.4,7249.08,5184.44,5549.88,4952.61,
Solomon Islands,SLB,Total fisheries production (metric tons),ER.FSH.PROD.MT,76158.86,54774.5,68166.61,73910.88,46409.67,62293.02,59717.39,
Sierra Leone,SLE,Total fisheries production (metric tons),ER.FSH.PROD.MT,202185,202185,202200,202200,200745,205025,215285,
El Salvador,SLV,Total fisheries production (metric tons),ER.FSH.PROD.MT,66513.77,70627.97,68044.66,61592.74,68052.39,71768.74,73033.99,
San Marino,SMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Somalia,SOM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Serbia,SRB,Total fisheries production (metric tons),ER.FSH.PROD.MT,8944.66,7278.65,9420.7,9353.77,7942.26,9660.89,8155.47,
Sub-Saharan Africa (excluding high income),SSA,Total fisheries production (metric tons),ER.FSH.PROD.MT,6908804.1,7461425.16,7379273.58,7347228.17,7188579.28,7654742.32,7482151.19,
South Sudan,SSD,Total fisheries production (metric tons),ER.FSH.PROD.MT,37024,39027,41030,43035,41040,44045,47047,
Sub-Saharan Africa,SSF,Total fisheries production (metric tons),ER.FSH.PROD.MT,7036351.86,7604078.34,7525897.06,7489397.56,7328226.87,7798974.67,7619989.52,
Small states,SST,Total fisheries production (metric tons),ER.FSH.PROD.MT,2916432.72,3099730.77,3272190.32,3182549.15,2974867.45,3228407.68,3372729.04,
Sao Tome and Principe,STP,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Suriname,SUR,Total fisheries production (metric tons),ER.FSH.PROD.MT,43165.1,48690.75,39371.4,31457.5,29809,32170,33740,
Slovak Republic,SVK,Total fisheries production (metric tons),ER.FSH.PROD.MT,4034.65,4516.26,4161.41,4540.54,4032,4329,4509,
Slovenia,SVN,Total fisheries production (metric tons),ER.FSH.PROD.MT,2169.22,2030.17,2207.24,2425.26,1984.62,1954.7,1915.96,
Sweden,SWE,Total fisheries production (metric tons),ER.FSH.PROD.MT,221212,243519,234757,195916.3,191833.1,182769.32,163355.28,
Eswatini,SWZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,165,165,165,165,160,165,165,
Sint Maarten (Dutch part),SXM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Seychelles,SYC,Total fisheries production (metric tons),ER.FSH.PROD.MT,127547.76,142653.18,146623.48,142169.39,139647.59,144232.35,137838.33,
Syrian Arab Republic,SYR,Total fisheries production (metric tons),ER.FSH.PROD.MT,6679,6415,6299,6230,5700,6115,6185,
Turks and Caicos Islands,TCA,Total fisheries production (metric tons),ER.FSH.PROD.MT,3145.5,1324.5,2090.5,1243,1297,2277,,
Chad,TCD,Total fisheries production (metric tons),ER.FSH.PROD.MT,110094,107150,107105,107105,105105,103110,107120,
East Asia & Pacific (IDA & IBRD countries),TEA,Total fisheries production (metric tons),ER.FSH.PROD.MT,121199652.21,123716144.6,125284154.6,126906318.05,127825616.79,129081653.24,132571111.64,
Europe & Central Asia (IDA & IBRD countries),TEC,Total fisheries production (metric tons),ER.FSH.PROD.MT,6279553.57,6565643.22,6887651.4,7087170.38,7137367.95,7273444.81,7122499.92,
Togo,TGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,31989,27047,24910,26526,18764,18866,22656.22,
Thailand,THA,Total fisheries production (metric tons),ER.FSH.PROD.MT,2495764.87,2388032.35,2458068.89,2490448.92,2600397.33,2405437.6,2386672.33,
Tajikistan,TJK,Total fisheries production (metric tons),ER.FSH.PROD.MT,1538.99,1575,1707.99,2452.33,2584.86,4389.22,4673,
Turkmenistan,TKM,Total fisheries production (metric tons),ER.FSH.PROD.MT,15075,15080,15120,15140,14755,15202,15272,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Total fisheries production (metric tons),ER.FSH.PROD.MT,13116803.08,14436052.55,17702362.42,15683629.64,16542481.02,18122316.76,17188619.12,
Timor-Leste,TLS,Total fisheries production (metric tons),ER.FSH.PROD.MT,5403,6373,6978.04,8071.41,7866.24,7616.9,7831.6,
Middle East & North Africa (IDA & IBRD countries),TMN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4751410.81,4857899.02,5118734.04,5298186.14,5135869.74,5194415.52,4112555.65,
Tonga,TON,Total fisheries production (metric tons),ER.FSH.PROD.MT,1626.03,1471,1324.39,1302.61,1202.32,1215.21,1426.03,
South Asia (IDA & IBRD),TSA,Total fisheries production (metric tons),ER.FSH.PROD.MT,16046147.63,17180704.73,18131907.82,19052558.58,18992152.21,20256839.87,21712014.06,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,7036351.86,7604078.34,7525897.06,7489397.56,7328226.87,7798974.67,7619989.52,
Trinidad and Tobago,TTO,Total fisheries production (metric tons),ER.FSH.PROD.MT,13127.04,12949.58,13191.79,12995.71,12916.85,13102.37,13076.41,
Tunisia,TUN,Total fisheries production (metric tons),ER.FSH.PROD.MT,125930,129829.99,136949.19,155205.2,145453.1,150342.65,149631.44,
Turkiye,TUR,Total fisheries production (metric tons),ER.FSH.PROD.MT,588740.27,630972.5,628779.51,836550.96,785815.88,799844,849825.9,
Tuvalu,TUV,Total fisheries production (metric tons),ER.FSH.PROD.MT,7686.5,7477.5,12821.89,8359.78,11296,31087.51,42782,
Tanzania,TZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,145052.23,144872.46,139711.22,133380,125972,142129,159271,
Uganda,UGA,Total fisheries production (metric tons),ER.FSH.PROD.MT,499854.2,501972.6,543091,706166.7,702581,773153.36,546312,
Ukraine,UKR,Total fisheries production (metric tons),ER.FSH.PROD.MT,97283.44,113650.08,95102.41,100334.34,88034.9,79930.12,37350.93,
Upper middle income,UMC,Total fisheries production (metric tons),ER.FSH.PROD.MT,122024726.71,124790445.54,129464510.2,128617863.2,130059703.24,133234691.49,135154688.69,
Uruguay,URY,Total fisheries production (metric tons),ER.FSH.PROD.MT,51621.39,65378.62,69830.11,68126.28,62977.77,66384.5,68872.65,
United States,USA,Total fisheries production (metric tons),ER.FSH.PROD.MT,5289437.5,5465607,5268019.35,5320578.85,4717511.61,4769525.12,4741659.94,
Uzbekistan,UZB,Total fisheries production (metric tons),ER.FSH.PROD.MT,65321.7,83900,90984,121717,144103.02,171933.01,185273.98,
St. Vincent and the Grenadines,VCT,Total fisheries production (metric tons),ER.FSH.PROD.MT,22835.11,32938.89,2328.89,1969.03,2140.59,1599.28,,
"Venezuela, RB",VEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,309740.64,264200.08,208510.97,209936,236161.02,276700.94,,
British Virgin Islands,VGB,Total fisheries production (metric tons),ER.FSH.PROD.MT,1192.5,1193,1193,1193,1122,1134.19,1135.44,
Virgin Islands (U.S.),VIR,Total fisheries production (metric tons),ER.FSH.PROD.MT,596.54,556.91,298,340.72,363.61,428.32,,
Viet Nam,VNM,Total fisheries production (metric tons),ER.FSH.PROD.MT,6659520.03,7146070.53,7539001.5,7814278.31,8187491.71,8290423.98,8760377.55,
Vanuatu,VUT,Total fisheries production (metric tons),ER.FSH.PROD.MT,46656.81,34514.05,43390.76,57200.57,63668.57,69875.54,88121.33,
World,WLD,Total fisheries production (metric tons),ER.FSH.PROD.MT,197334941.58,204917734.63,211338084.77,211345160.55,211948517.06,216986542.46,213618123.49,
Samoa,WSM,Total fisheries production (metric tons),ER.FSH.PROD.MT,8820,10865.12,9756.63,11228.76,9964.17,9186.42,9603.24,
Kosovo,XKX,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
"Yemen, Rep.",YEM,Total fisheries production (metric tons),ER.FSH.PROD.MT,152135.99,131294.99,131317.99,131315.73,131316.52,154950,178200,
South Africa,ZAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,630184.32,536264.08,578377.82,456228.55,613435.48,504475.87,484805.53,
Zambia,ZMB,Total fisheries production (metric tons),ER.FSH.PROD.MT,113575,122603.1,128103,135943,152506,168480,185076,
Zimbabwe,ZWE,Total fisheries production (metric tons),ER.FSH.PROD.MT,50857.39,49167.41,48066.29,46925.27,47947.89,27791.82,34514.01,
