Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
"Congo, Dem. Rep.",COD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.236439195438816,0.236439195438816,0.236432,0.236432,0.236431941,0.2364319,
"Congo, Rep.",COG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.2117029732529,3.2117029732529,3.211738,3.010546,3.010546446,3.0105464,
Colombia,COL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,17.0698862847978,17.0698862847978,17.06084,17.1657,17.16570282,17.0900021,
Comoros,COM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0226364027578958,0.0226364027578958,0.022636,0.374477,0.374477267,0.3744773,
Cabo Verde,CPV,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.000676993988023627,0.000676993988023627,0.000677,0.000677,0.000676994,0.000677,
Costa Rica,CRI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.833447452118705,0.833447452118705,2.614376,2.728769,2.728768587,28.9516144,
Caribbean small states,CSS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.39319343853239,1.39319343853239,1.39840043148118,1.44818013322145,1.44817743293952,,
Cuba,CUB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.3249505259467,4.3249505259467,3.851971,3.852249,3.852249146,3.8522491,
Curacao,CUW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0341709310928601,0.0341709310928601,0.038174,0.038174,0.038173836,0.0381738,
Cayman Islands,CYM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0776734150587337,0.0776734150587337,0.077673,0.077673,0.077673122,0.0776731,
Cyprus,CYP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.122715523666451,0.122715523666451,0.123078,8.620539,8.620538712,8.6205378,
Czechia,CZE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Germany,DEU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,45.3573960418849,45.3573960418849,45.38045,45.38863,45.46042633,45.4581184,
Djibouti,DJI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.167867459666831,0.167867459666831,0.167865,0.167865,0.167864516,0.1678645,
Dominica,DMA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.105277967308817,0.105277967308817,0.034827,0.034789,0.034776829,0.0333271,
Denmark,DNK,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,17.8489925277439,17.8489925277439,17.91984,18.32221,18.32213974,18.3222065,
Dominican Republic,DOM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,17.9579055499101,17.9579055499101,17.95776,17.95776,17.95775986,17.276762,
Algeria,DZA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0854831025889078,0.0854831025889078,0.085483,0.068023,0.068022594,0.0680226,
East Asia & Pacific (excluding high income),EAP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.23909256599744,4.23910463529243,4.15151052080295,4.34332289628422,4.40941016114973,,
Early-demographic dividend,EAR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.90037362104261,3.90035227104162,4.74418650302073,4.73794782387247,4.83618408024845,,
East Asia & Pacific,EAS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,16.874752899805,16.8747688659699,16.8227795011737,17.0391969786142,18.3482535073468,,
